Datos,Frecuencia
434,9
432,9
437,8
426,8
452,8
440,8
467,6
430,6
444,6
448,6
451,6
453,5
455,5
456,5
454,5
446,5
441,5
439,4
423,4
442,4
436,4
450,4
465,4
445,4
470,4
449,4
416,4
473,4
457,4
425,3
435,3
462,3
410,3
415,3
461,3
433,3
447,3
466,3
421,3
417,3
427,3
438,3
443,2
431,2
464,2
468,2
404,2
429,2
428,2
408,2
471,2
412,2
459,2
477,2
405,2
424,2
460,2
463,2
485,1
483,1
476,1
474,1
484,1
414,1
399,1
411,1
401,1
496,1
420,1
396,1
481,1
402,1
392,1
478,1
351,1
469,1
490,1
419,1
393,1
494,1
406,1
